wall,blockTs,asset,value,feedTs
1783483699,1783483699,RAIN/USD,0,0
1783483718,1783483718,BTC/USD,62931497003119869427712,1783483215
1783483718,1783483718,ETH/USD,1756823933662923718656,1783483575
1783483718,1783483718,LTC/USD,43568172000000008192,1783483392
1783483718,1783483718,XRP/USD,1098056458612500096,1783483579
1783483718,1783483718,RAIN/USD,0,0
1783483738,1783483738,BTC/USD,62931497003119869427712,1783483215
1783483738,1783483738,ETH/USD,1756823933662923718656,1783483575
1783483738,1783483738,LTC/USD,43568172000000008192,1783483392
1783483738,1783483738,XRP/USD,1098056458612500096,1783483579
1783483738,1783483738,RAIN/USD,0,0
1783483768,1783483768,BTC/USD,62895367132260499193856,1783483755
1783483768,1783483768,ETH/USD,1756823933662923718656,1783483575
1783483768,1783483768,LTC/USD,43568172000000008192,1783483392
1783483768,1783483768,XRP/USD,1098056458612500096,1783483579
1783483768,1783483768,RAIN/USD,0,0
1783483787,1783483787,BTC/USD,62895367132260499193856,1783483755
1783483787,1783483787,ETH/USD,1756823933662923718656,1783483575
1783483787,1783483787,LTC/USD,43568172000000008192,1783483392
1783483787,1783483787,XRP/USD,1098056458612500096,1783483579
1783483787,1783483787,RAIN/USD,0,0
1783483806,1783483806,BTC/USD,62895367132260499193856,1783483755
1783483806,1783483806,ETH/USD,1756823933662923718656,1783483575
1783483806,1783483806,LTC/USD,43568172000000008192,1783483392
1783483806,1783483806,XRP/USD,1098056458612500096,1783483579
1783483806,1783483806,RAIN/USD,0,0
1783483825,1783483825,BTC/USD,62895367132260499193856,1783483755
1783483825,1783483825,ETH/USD,1756823933662923718656,1783483575
1783483825,1783483825,LTC/USD,43568172000000008192,1783483392
1783483825,1783483825,XRP/USD,1098056458612500096,1783483579
1783483825,1783483825,RAIN/USD,0,0
1783483845,1783483844,BTC/USD,62895367132260499193856,1783483755
1783483845,1783483844,ETH/USD,1756823933662923718656,1783483575
1783483845,1783483844,LTC/USD,43528650900000006144,1783483845
1783483845,1783483844,XRP/USD,1098056458612500096,1783483579
1783483845,1783483844,RAIN/USD,0,0
1783483864,1783483863,BTC/USD,62895367132260499193856,1783483755
1783483864,1783483863,ETH/USD,1756823933662923718656,1783483575
1783483864,1783483863,LTC/USD,43528650900000006144,1783483845
1783483864,1783483863,XRP/USD,1098056458612500096,1783483579
1783483864,1783483863,RAIN/USD,0,0
1783483883,1783483883,BTC/USD,62895367132260499193856,1783483755
1783483883,1783483883,ETH/USD,1756823933662923718656,1783483575
1783483883,1783483883,LTC/USD,43528650900000006144,1783483845
1783483883,1783483883,XRP/USD,1098056458612500096,1783483579
1783483883,1783483883,RAIN/USD,0,0
1783483902,1783483902,BTC/USD,62895367132260499193856,1783483755
1783483902,1783483902,ETH/USD,1756823933662923718656,1783483575
1783483902,1783483902,LTC/USD,43528650900000006144,1783483845
1783483902,1783483902,XRP/USD,1098056458612500096,1783483579
1783483902,1783483902,RAIN/USD,0,0
1783483921,1783483921,BTC/USD,62895367132260499193856,1783483755
1783483921,1783483921,ETH/USD,1756823933662923718656,1783483575
1783483921,1783483921,LTC/USD,43528650900000006144,1783483845
1783483921,1783483921,XRP/USD,1098056458612500096,1783483579
1783483921,1783483921,RAIN/USD,0,0
1783483941,1783483941,BTC/USD,62895367132260499193856,1783483755
1783483941,1783483941,ETH/USD,1755546571999999950848,1783483937
1783483941,1783483941,LTC/USD,43528650900000006144,1783483845
1783483941,1783483941,XRP/USD,1097597234625000192,1783483941
1783483941,1783483941,RAIN/USD,0,0
1783483999,1783484000,BTC/USD,62895367132260499193856,1783483755
1783483999,1783484000,ETH/USD,1755546571999999950848,1783483937
1783483999,1783484000,LTC/USD,43528650900000006144,1783483845
1783483999,1783484000,XRP/USD,1097597234625000192,1783483941
1783483999,1783484000,RAIN/USD,0,0
1783484019,1783484019,BTC/USD,62895367132260499193856,1783483755
1783484019,1783484019,ETH/USD,1755546571999999950848,1783483937
1783484019,1783484019,LTC/USD,43528650900000006144,1783483845
1783484019,1783484019,XRP/USD,1097597234625000192,1783483941
1783484019,1783484019,RAIN/USD,0,0
1783484038,1783484038,BTC/USD,62895367132260499193856,1783483755
1783484038,1783484038,ETH/USD,1755546571999999950848,1783483937
1783484038,1783484038,LTC/USD,43528650900000006144,1783483845
1783484038,1783484038,XRP/USD,1097597234625000192,1783483941
1783484038,1783484038,RAIN/USD,0,0
1783484058,1783484058,BTC/USD,62895367132260499193856,1783483755
1783484058,1783484058,ETH/USD,1755546571999999950848,1783483937
1783484058,1783484058,LTC/USD,43528650900000006144,1783483845
1783484058,1783484058,XRP/USD,1097597234625000192,1783483941
1783484058,1783484058,RAIN/USD,0,0
1783484077,1783484077,BTC/USD,62895367132260499193856,1783483755
1783484077,1783484077,ETH/USD,1755546571999999950848,1783483937
1783484077,1783484077,LTC/USD,43528650900000006144,1783483845
1783484077,1783484077,XRP/USD,1097597234625000192,1783483941
1783484077,1783484077,RAIN/USD,0,0
1783484096,1783484096,BTC/USD,62895367132260499193856,1783483755
1783484096,1783484096,ETH/USD,1755546571999999950848,1783483937
1783484096,1783484096,LTC/USD,43528650900000006144,1783483845
1783484096,1783484096,XRP/USD,1097597234625000192,1783483941
1783484096,1783484096,RAIN/USD,0,0
1783484115,1783484115,BTC/USD,62895367132260499193856,1783483755
1783484115,1783484115,ETH/USD,1755546571999999950848,1783483937
1783484115,1783484115,LTC/USD,43528650900000006144,1783483845
1783484115,1783484115,XRP/USD,1097597234625000192,1783483941
1783484115,1783484115,RAIN/USD,0,0
